#Release 13.1 - par O.40d (nt64)
#Copyright (c) 1995-2011 Xilinx, Inc.  All rights reserved.

#Sun May 22 11:23:18 2011

#
## NOTE: This file is designed to be imported into a spreadsheet program
# such as Microsoft Excel for viewing, printing and sorting. The |
# character is used as the data field separator. This file is also designed
# to support parsing.
#
#INPUT FILE:       fmcw_fpga_map.ncd
#OUTPUT FILE:      fmcw_fpga_pad.csv
#PART TYPE:        xc6vlx75t
#SPEED GRADE:      -2
#PACKAGE:          ff784
#
# Pinout by Pin Number:
# 
# -----,-----,-----,-----,-----,-----,-----,-----,-----,-----,-----,-----,-----,-----,-----,
Pin Number,Signal Name,Pin Usage,Pin Name,Direction,IO Standard,IO Bank Number,Drive (mA),Slew Rate,Termination,IOB Delay,Voltage,Constraint,IO Register,Signal Integrity,
D20,adc_dq_p<7>,IOB,IO_L10P_MRCC_25,INPUT,LVDS_25,25,,,,NONE,,UNLOCATED,YES,NONE,
D21,adc_did_n<6>,IOB,IO_L16N_VRP_25,,LVDS_25,25,,,,,,,NO,,
D22,dac_dci_p,IOBM,IO_L4P_16,OUTPUT,LVDS_25,16,,,,,,UNLOCATED,YES,NONE,
D23,adc_ori_n,IOB,IO_L14N_VREF_16,,LVDS_25,16,,,,,,,NO,,
D24,,,VCCO_16,,,16,,,,,2.50,,,,
D25,adc_dqd_n<10>,IOB,IO_L6N_16,,LVDS_25,16,,,,,,,NO,,
D26,,IOBM,IO_L18P_16,UNUSED,,16,,,,,,,,,
D27,adc_orq_p,IOB,IO_L11P_SRCC_16,INPUT,LVDS_25,16,,,,NONE,,UNLOCATED,YES,NONE,
D28,adc_dq_p<1>,IOB,IO_L13P_16,INPUT,LVDS_25,16,,,,NONE,,UNLOCATED,YES,NONE,
E1,,,GND,,,,,,,,,,,,
E2,,,MGTAVTT,,,,,,,,,,,,
E3,,IPAD,MGTRXP0_116,UNUSED,,,,,,,,,,,
E4,,IPAD,MGTRXN0_116,UNUSED,,,,,,,,,,,
E5,,,GND,,,,,,,,,,,,
E6,,,GND,,,,,,,,,,,,
E7,dac_d0_n<9>,IOBS,IO_L14N_VREF_36,OUTPUT,LVDS_25,36,,,,,,UNLOCATED,NO,NONE,
E8,dac_d0_p<3>,IOBM,IO_L7P_36,OUTPUT,LVDS_25,36,,,,,,UNLOCATED,YES,NONE,
E9,dac_d1_n<8>,IOBS,IO_L5N_36,OUTPUT,LVDS_25,36,,,,,,UNLOCATED,NO,NONE,
E10,dac_d0_n<11>,IOBS,IO_L0N_36,OUTPUT,LVDS_25,36,,,,,,UNLOCATED,NO,NONE,
E11,,,VCCO_26,,,26,,,,,2.50,,,,
E12,adc_dclk_rst_p,IOBM,IO_L0P_26,OUTPUT,LVDS_25,26,,,,,,UNLOCATED,NO,NONE,
E13,adc_di_p<1>,IOB,IO_L1P_26,INPUT,LVDS_25,26,,,,NONE,,UNLOCATED,YES,NONE,
E14,adc_di_n<1>,IOB,IO_L1N_26,,LVDS_25,26,,,,,,,NO,,
E15,adc_did_p<10>,IOB,IO_L12P_VRN_26,INPUT,LVDS_25,26,,,,NONE,,UNLOCATED,YES,NONE,
E16,,,GND,,,,,,,,,,,,
E17,adc_dqd_n<6>,IOB,IO_L6N_25,,LVDS_25,25,,,,,,,NO,,
E18,adc_dqd_p<7>,IOB,IO_L7P_25,INPUT,LVDS_25,25,,,,NONE,,UNLOCATED,YES,NONE,
E19,adc_dq_n<7>,IOB,IO_L10N_MRCC_25,,LVDS_25,25,,,,,,,NO,,
E20,adc_did_p<6>,IOB,IO_L16P_VRN_25,INPUT,LVDS_25,25,,,,NONE,,UNLOCATED,YES,NONE,
E21,,,VCCO_25,,,25,,,,,any******,,,,
E22,,IOBM,IO_L5P_16,UNUSED,,16,,,,,,,,,
E23,adc_ori_p,IOB,IO_L14P_16,INPUT,LVDS_25,16,,,,NONE,,UNLOCATED,YES,NONE,
E24,adc_dqd_p<10>,IOB,IO_L6P_16,INPUT,LVDS_25,16,,,,NONE,,UNLOCATED,YES,NONE,
E25,adc_di_p<0>,IOB,IO_L10P_MRCC_16,INPUT,LVDS_25,16,,,,NONE,,UNLOCATED,YES,NONE,
E26,,,GND,,,,,,,,,,,,
E27,adc_dq_n<4>,IOB,IO_L16N_16,,LVDS_25,16,,,,,,,NO,,
E28,adc_dq_n<1>,IOB,IO_L13N_16,,LVDS_25,16,,,,,,,NO,,
F1,sfp1_txp,OPAD,MGTTXP2_116,,,,,,,,,,NO,,
F2,sfp1_txn,OPAD,MGTTXN2_116,,,,,,,,,,NO,,
F3,,,GND,,,,,,,,,,,,
F4,,,MGTAVCC,,,,,,,,,,,,
F5,,,GND,,,,,,,,,,,,
F6,,,M0_0,,,,,,,,,,,,
F7,dac_d1_p<11>,IOBM,IO_L9P_MRCC_36,OUTPUT,LVDS_25,36,,,,,,UNLOCATED,YES,NONE,
F8,,,VCCO_36,,,36,,,,,2.50,,,,
F9,dac_d0_n<3>,IOBS,IO_L7N_36,OUTPUT,LVDS_25,36,,,,,,UNLOCATED,NO,NONE,
F10,dac_d0_n<1>,IOBS,IO_L6N_36,OUTPUT,LVDS_25,36,,,,,,UNLOCATED,NO,NONE,
F11,dac_d0_p<11>,IOBM,IO_L0P_36,OUTPUT,LVDS_25,36,,,,,,UNLOCATED,YES,NONE,
F12,adc_di_n<4>,IOB,IO_L11N_SRCC_26,,LVDS_25,26,,,,,,,NO,,
F13,,,GND,,,,,,,,,,,,
F14,dac_d1_n<1>,IOBS,IO_L3N_26,OUTPUT,LVDS_25,26,,,,,,UNLOCATED,NO,NONE,
F15,dac_d0_n<12>,IOBS,IO_L10N_MRCC_26,OUTPUT,LVDS_25,26,,,,,,UNLOCATED,NO,NONE,
F16,dac_d0_p<12>,IOBM,IO_L10P_MRCC_26,OUTPUT,LVDS_25,26,,,,,,UNLOCATED,YES,NONE,
F17,adc_did_n<9>,IOB,IO_L1N_25,,LVDS_25,25,,,,,,,NO,,
F18,,,VCCO_25,,,25,,,,,any******,,,,
F19,adc_dqd_n<7>,IOB,IO_L7N_25,,LVDS_25,25,,,,,,,NO,,
F20,adc_did_p<4>,IOB,IO_L19P_GC_25,INPUT,LVDS_25,25,,,,NONE,,UNLOCATED,YES,NONE,
F21,adc_did_n<4>,IOB,IO_L19N_GC_25,,LVDS_25,25,,,,,,,NO,,
F22,,IOBS,IO_L5N_16,UNUSED,,16,,,,,,,,,
F23,,,GND,,,,,,,,,,,,
F24,adc_di_n<0>,IOB,IO_L10N_MRCC_16,,LVDS_25,16,,,,,,,NO,,
F25,adc_dq_n<6>,IOB,IO_L15N_16,,LVDS_25,16,,,,,,,NO,,
F26,adc_dq_p<6>,IOB,IO_L15P_16,INPUT,LVDS_25,16,,,,NONE,,UNLOCATED,YES,NONE,
F27,adc_dq_p<4>,IOB,IO_L16P_16,INPUT,LVDS_25,16,,,,NONE,,UNLOCATED,YES,NONE,
F28,,,VCCO_16,,,16,,,,,2.50,,,,
G1,,,GND,,,,,,,,,,,,
G2,,,GND,,,,,,,,,,,,
G3,,IPAD,MGTREFCLK1N_116,UNUSED,,,,,,,,,,,
G4,,IPAD,MGTREFCLK1P_116,UNUSED,,,,,,,,,,,
G5,,,GND,,,,,,,,,,,,
G6,,,RDWR_B_0,,,,,,,,,,,,
G7,dac_d1_n<11>,IOBS,IO_L9N_MRCC_36,OUTPUT,LVDS_25,36,,,,,,UNLOCATED,NO,NONE,
G8,adc_dqd_p<11>,IOB,IO_L13P_36,INPUT,LVDS_25,36,,,,NONE,,UNLOCATED,YES,NONE,
G9,adc_dqd_n<11>,IOB,IO_L13N_36,,LVDS_25,36,,,,,,,NO,,
G10,,,GND,,,,,,,,,,,,
G11,dac_d0_p<1>,IOBM,IO_L6P_36,OUTPUT,LVDS_25,36,,,,,,UNLOCATED,YES,NONE,
G12,adc_di_p<4>,IOB,IO_L11P_SRCC_26,INPUT,LVDS_25,26,,,,NONE,,UNLOCATED,YES,NONE,
G13,dac_d1_n<10>,IOBS,IO_L19N_26,OUTPUT,LVDS_25,26,,,,,,UNLOCATED,NO,NONE,
G14,dac_d1_p<1>,IOBM,IO_L3P_26,OUTPUT,LVDS_25,26,,,,,,UNLOCATED,YES,NONE,
G15,,,VCCO_26,,,26,,,,,2.50,,,,
G16,adc_di_n<6>,IOB,IO_L2N_26,,LVDS_25,26,,,,,,,NO,,
G17,adc_did_p<9>,IOB,IO_L1P_25,INPUT,LVDS_25,25,,,,NONE,,UNLOCATED,YES,NONE,
G18,adc_dqd_p<3>,IOB,IO_L4P_25,INPUT,LVDS_25,25,,,,NONE,,UNLOCATED,YES,NONE,
G19,adc_dqd_n<9>,IOB,IO_L9N_MRCC_25,,LVDS_25,25,,,,,,,NO,,
G20,,,GND,,,,,,,,,,,,
G21,adc_did_n<3>,IOB,IO_L18N_GC_25,,LVDS_25,25,,,,,,,NO,,
G22,,IOBM,IO_L0P_16,UNUSED,,16,,,,,,,,,
G23,,IOBS,IO_L2N_16,UNUSED,,16,,,,,,,,,
G24,adc_dq_n<0>,IOB,IO_L12N_VRP_16,,LVDS_25,16,,,,,,,NO,,
G25,,,VCCO_16,,,16,,,,,2.50,,,,
G26,adc_di_n<3>,IOB,IO_L17N_16,,LVDS_25,16,,,,,,,NO,,
G27,adc_di_p<3>,IOB,IO_L17P_16,INPUT,LVDS_25,16,,,,NONE,,UNLOCATED,YES,NONE,
G28,adc_dqd_p<8>,IOB,IO_L19P_16,INPUT,LVDS_25,16,,,,NONE,,UNLOCATED,YES,NONE,
H1,,OPAD,MGTTXP1_116,UNUSED,,,,,,,,,,,
H2,,OPAD,MGTTXN1_116,UNUSED,,,,,,,,,,,
H3,,,GND,,,,,,,,,,,,
H4,,,GND,,,,,,,,,,,,
H5,,,GND,,,,,,,,,,,,
H6,,,DIN_0,,,,,,,,,,,,
H7,,,GND,,,,,,,,,,,,
H8,dac_d0_p<4>,IOBM,IO_L15P_36,OUTPUT,LVDS_25,36,,,,,,UNLOCATED,YES,NONE,
H9,dac_d0_n<4>,IOBS,IO_L15N_36,OUTPUT,LVDS_25,36,,,,,,UNLOCATED,NO,NONE,
H10,dac_d0_n<0>,IOBS,IO_L10N_MRCC_36,OUTPUT,LVDS_25,36,,,,,,UNLOCATED,NO,NONE,
H11,dac_d0_p<0>,IOBM,IO_L10P_MRCC_36,OUTPUT,LVDS_25,36,,,,,,UNLOCATED,YES,NONE,
H12,,,VCCO_36,,,36,,,,,2.50,,,,
H13,dac_d1_p<2>,IOBM,IO_L4P_36,OUTPUT,LVDS_25,36,,,,,,UNLOCATED,YES,NONE,
H14,dac_d1_p<10>,IOBM,IO_L19P_26,OUTPUT,LVDS_25,26,,,,,,UNLOCATED,YES,NONE,
H15,adc_dq_n<2>,IOB,IO_L4N_VREF_26,,LVDS_25,26,,,,,,,NO,,
H16,adc_di_p<6>,IOB,IO_L2P_26,INPUT,LVDS_25,26,,,,NONE,,UNLOCATED,YES,NONE,
H17,,,GND,,,,,,,,,,,,
H18,adc_dqd_n<3>,IOB,IO_L4N_VREF_25,,LVDS_25,25,,,,,,,NO,,
H19,adc_dqd_p<9>,IOB,IO_L9P_MRCC_25,INPUT,LVDS_25,25,,,,NONE,,UNLOCATED,YES,NONE,
H20,adc_did_p<3>,IOB,IO_L18P_GC_25,INPUT,LVDS_25,25,,,,NONE,,UNLOCATED,YES,NONE,
H21,,IOBS,IO_L0N_16,UNUSED,,16,,,,,,,,,
H22,,,VCCO_16,,,16,,,,,2.50,,,,
H23,,IOBM,IO_L2P_16,UNUSED,,16,,,,,,,,,
H24,adc_dq_p<0>,IOB,IO_L12P_VRN_16,INPUT,LVDS_25,16,,,,NONE,,UNLOCATED,YES,NONE,
H25,,IOBM,IO_L1P_15,UNUSED,,15,,,,,,,,,
H26,,IOBS,IO_L1N_15,UNUSED,,15,,,,,,,,,
H27,,,GND,,,,,,,,,,,,
H28,adc_dqd_n<8>,IOB,IO_L19N_16,,LVDS_25,16,,,,,,,NO,,
J1,,,GND,,,,,,,,,,,,
J2,,,GND,,,,,,,,,,,,
J3,sfp1_refclk_n,IPAD,MGTREFCLK0N_116,,,,,,,,,,NO,,
J4,sfp1_refclk_p,IPAD,MGTREFCLK0P_116,,,,,,,,,,NO,,
J5,,,GND,,,,,,,,,,,,
J6,,,VBATT_0,,,,,,,,,,,,
J7,dac_d0_p<6>,IOBM,IO_L17P_36,OUTPUT,LVDS_25,36,,,,,,UNLOCATED,YES,NONE,
J8,dac_d0_n<6>,IOBS,IO_L17N_36,OUTPUT,LVDS_25,36,,,,,,UNLOCATED,NO,NONE,
J9,,,VCCO_36,,,36,,,,,2.50,,,,
J10,dac_d0_n<5>,IOBS,IO_L16N_36,OUTPUT,LVDS_25,36,,,,,,UNLOCATED,NO,NONE,
J11,dac_d0_p<5>,IOBM,IO_L16P_36,OUTPUT,LVDS_25,36,,,,,,UNLOCATED,YES,NONE,
J12,dac_d0_p<2>,IOBM,IO_L11P_SRCC_36,OUTPUT,LVDS_25,36,,,,,,UNLOCATED,YES,NONE,
J13,dac_d1_n<2>,IOBS,IO_L4N_VREF_36,OUTPUT,LVDS_25,36,,,,,,UNLOCATED,NO,NONE,
J14,,,GND,,,,,,,,,,,,
J15,dac_d1_p<4>,IOBM,IO_L8P_SRCC_26,OUTPUT,LVDS_25,26,,,,,,UNLOCATED,YES,NONE,
J16,adc_dq_p<2>,IOB,IO_L4P_26,INPUT,LVDS_25,26,,,,NONE,,UNLOCATED,YES,NONE,
J17,adc_dqd_p<0>,IOB,IO_L2P_25,INPUT,LVDS_25,25,,,,NONE,,UNLOCATED,YES,NONE,
J18,adc_dqd_n<0>,IOB,IO_L2N_25,,LVDS_25,25,,,,,,,NO,,
J19,,,VCCO_25,,,25,,,,,any******,,,,
J20,adc_did_n<0>,IOB,IO_L14N_VREF_25,,LVDS_25,25,,,,,,,NO,,
J21,adc_di_p<5>,IOB,IO_L8P_SRCC_16,INPUT,LVDS_25,16,,,,NONE,,UNLOCATED,YES,NONE,
J22,adc_di_n<5>,IOB,IO_L8N_SRCC_16,,LVDS_25,16,,,,,,,NO,,
J23,adc_di_n<11>,IOB,IO_L2N_SM8N_15,,LVDS_25,15,,,,,,,NO,,
J24,,,GND,,,,,,,,,,,,
J25,,IOBS,IO_L5N_SM10N_15,UNUSED,,15,,,,,,,,,
J26,adc_di_p<10>,IOB,IO_L3P_SM9P_15,INPUT,LVDS_25,15,,,,NONE,,UNLOCATED,YES,NONE,
J27,adc_di_n<10>,IOB,IO_L3N_SM9N_15,,LVDS_25,15,,,,,,,NO,,
J28,,IOBM,IO_L7P_SM12P_15,UNUSED,,15,,,,,,,,,
K1,,OPAD,MGTTXP0_116,UNUSED,,,,,,,,,,,
K2,,OPAD,MGTTXN0_116,UNUSED,,,,,,,,,,,
K3,,,GND,,,,,,,,,,,,
K4,,,MGTAVCC,,,,,,,,,,,,
K5,,,GND,,,,,,,,,,,,
K6,,,GND,,,,,,,,,,,,
K7,dac_d0_p<8>,IOBM,IO_L19P_36,OUTPUT,LVDS_25,36,,,,,,UNLOCATED,YES,NONE,
K8,,,VCCAUX,,,,,,,,2.5,,,,
K9,dac_d0_p<7>,IOBM,IO_L18P_36,OUTPUT,LVDS_25,36,,,,,,UNLOCATED,YES,NONE,
K10,dac_d0_n<7>,IOBS,IO_L18N_36,OUTPUT,LVDS_25,36,,,,,,UNLOCATED,NO,NONE,
K11,,,GND,,,,,,,,,,,,
K12,,,VCCINT,,,,,,,,1.0,,,,
K13,dac_d0_n<2>,IOBS,IO_L11N_SRCC_36,OUTPUT,LVDS_25,36,,,,,,UNLOCATED,NO,NONE,
K14,,,VCCINT,,,,,,,,1.0,,,,
K15,dac_d1_n<4>,IOBS,IO_L8N_SRCC_26,OUTPUT,LVDS_25,26,,,,,,UNLOCATED,NO,NONE,
K16,,,VCCINT,,,,,,,,1.0,,,,
K17,adc_did_p<8>,IOB,IO_L0P_25,INPUT,LVDS_25,25,,,,NONE,,UNLOCATED,YES,NONE,
K18,adc_did_n<8>,IOB,IO_L0N_25,,LVDS_25,25,,,,,,,NO,,
K19,adc_did_p<0>,IOB,IO_L14P_25,INPUT,LVDS_25,25,,,,NONE,,UNLOCATED,YES,NONE,
K20,,,VCCAUX,,,,,,,,2.5,,,,
K21,,,GND,,,,,,,,,,,,
K22,adc_dq_p<5>,IOB,IO_L0P_15,INPUT,LVDS_25,15,,,,NONE,,UNLOCATED,YES,NONE,
K23,adc_dq_n<5>,IOB,IO_L0N_15,,LVDS_25,15,,,,,,,NO,,
K24,adc_di_p<11>,IOB,IO_L2P_SM8P_15,INPUT,LVDS_25,15,,,,NONE,,UNLOCATED,YES,NONE,
K25,,IOBM,IO_L5P_SM10P_15,UNUSED,,15,,,,,,,,,
K26,,,VCCO_15,,,15,,,,,2.50,,,,
K27,dac_sync_out_p,IOB,IO_L9P_MRCC_15,INPUT,LVDS_25,15,,,,NONE,,UNLOCATED,NO,NONE,
K28,,IOBS,IO_L7N_SM12N_15,UNUSED,,15,,,,,,,,,
L1,,,GND,,,,,,,,,,,,
L2,,,MGTAVTT,,,,,,,,,,,,
L3,pci_exp_rxp<0>,IPAD,MGTRXP3_115,,,,,,,,,,NO,,
L4,pci_exp_rxn<0>,IPAD,MGTRXN3_115,,,,,,,,,,NO,,
L5,,,GND,,,,,,,,,,,,
L6,,,DONE_0,,,,,,,,,,,,
L7,dac_d0_n<8>,IOBS,IO_L19N_36,OUTPUT,LVDS_25,36,,,,,,UNLOCATED,NO,NONE,
L8,,,GND,,,,,,,,,,,,
L9,,,VCCINT,,,,,,,,1.0,,,,
L10,,,GND,,,,,,,,,,,,
L11,,,VCCINT,,,,,,,,1.0,,,,
L12,,,GND,,,,,,,,,,,,
L13,,,VCCINT,,,,,,,,1.0,,,,
L14,,,GND,,,,,,,,,,,,
L15,,,VCCINT,,,,,,,,1.0,,,,
L16,,,GND,,,,,,,,,,,,
L17,,,VCCINT,,,,,,,,1.0,,,,
L18,,,GND,,,,,,,,,,,,
L19,,,VCCAUX,,,,,,,,2.5,,,,
L20,,IOBM,IO_L4P_15,UNUSED,,15,,,,,,,,,
L21,,IOBM,IO_L8P_SRCC_15,UNUSED,,15,,,,,,,,,
L22,,IOBS,IO_L8N_SRCC_15,UNUSED,,15,,,,,,,,,
L23,,,VCCO_15,,,15,,,,,2.50,,,,
L24,cfg_addr<11>,IOB,IO_L14P_15,OUTPUT,LVCMOS25*,15,12,SLOW,,,,UNLOCATED,NO,NONE,
L25,cfg_addr<20>,IOB,IO_L14N_VREF_15,OUTPUT,LVCMOS25*,15,12,SLOW,,,,UNLOCATED,NO,NONE,
L26,dac_sync_out_n,IOB,IO_L9N_MRCC_15,,LVDS_25,15,,,,,,,NO,,
L27,cfg_addr<8>,IOB,IO_L12N_SM13N_15,OUTPUT,LVCMOS25*,15,12,SLOW,,,,UNLOCATED,NO,NONE,
L28,,,GND,,,,,,,,,,,,
M1,pci_exp_txp<0>,OPAD,MGTTXP3_115,,,,,,,,,,NO,,
M2,pci_exp_txn<0>,OPAD,MGTTXN3_115,,,,,,,,,,NO,,
M3,,,GND,,,,,,,,,,,,
M4,,,MGTAVCC,,,,,,,,,,,,
M5,,,GND,,,,,,,,,,,,
M6,,,INIT_B_0,,,,,,,,,,,,
M7,,,PROGRAM_B_0,,,,,,,,,,,,
M8,,,VCCAUX,,,,,,,,2.5,,,,
M9,,,GND,,,,,,,,,,,,
M10,,,VCCINT,,,,,,,,1.0,,,,
M11,,,GND,,,,,,,,,,,,
M12,,,VCCINT,,,,,,,,1.0,,,,
M13,,,GND,,,,,,,,,,,,
M14,,,VCCINT,,,,,,,,1.0,,,,
M15,,,GND,,,,,,,,,,,,
M16,,,VCCINT,,,,,,,,1.0,,,,
M17,,,GND,,,,,,,,,,,,
M18,,,VCCINT,,,,,,,,1.0,,,,
M19,,IOBS,IO_L4N_VREF_15,UNUSED,,15,,,,,,,,,
M20,,,VCCO_15,,,15,,,,,2.50,,,,
M21,dac_sync_in_n,IOBS,IO_L10N_MRCC_15,OUTPUT,LVDS_25,15,,,,,,UNLOCATED,NO,NONE,
M22,dac_sync_in_p,IOBM,IO_L10P_MRCC_15,OUTPUT,LVDS_25,15,,,,,,UNLOCATED,YES,NONE,
M23,,IOBM,IO_L6P_SM11P_15,UNUSED,,15,,,,,,,,,
M24,,IOBS,IO_L6N_SM11N_15,UNUSED,,15,,,,,,,,,
M25,,,GND,,,,,,,,,,,,
M26,cfg_le_b,IOB,IO_L11P_SRCC_15,OUTPUT,LVCMOS25*,15,12,SLOW,,,,UNLOCATED,NO,NONE,
M27,cfg_addr<7>,IOB,IO_L12P_SM13P_15,OUTPUT,LVCMOS25*,15,12,SLOW,,,,UNLOCATED,NO,NONE,
M28,cfg_addr<13>,IOB,IO_L15N_SM15N_15,OUTPUT,LVCMOS25*,15,12,SLOW,,,,UNLOCATED,NO,NONE,
N1,,,GND,,,,,,,,,,,,
N2,,,MGTAVTT,,,,,,,,,,,,
N3,pci_exp_rxp<1>,IPAD,MGTRXP2_115,,,,,,,,,,NO,,
N4,pci_exp_rxn<1>,IPAD,MGTRXN2_115,,,,,,,,,,NO,,
N5,,,GND,,,,,,,,,,,,
N6,,,GND,,,,,,,,,,,,
N7,,,HSWAPEN_0,,,,,,,,,,,,
N8,,,GND,,,,,,,,,,,,
N9,,,VCCINT,,,,,,,,1.0,,,,
N10,,,GND,,,,,,,,,,,,
N11,,,VCCINT,,,,,,,,1.0,,,,
N12,,,GND,,,,,,,,,,,,
N13,,,AVSS_0,,,,,,,,,,,,
N14,,,AVDD_0,,,,,,,,,,,,
N15,,,VCCINT,,,,,,,,1.0,,,,
N16,,,GND,,,,,,,,,,,,
N17,,,VCCINT,,,,,,,,1.0,,,,
N18,,,GND,,,,,,,,,,,,
N19,,,VCCAUX,,,,,,,,2.5,,,,
N20,cfg_addr<16>,IOB,IO_L18P_15,OUTPUT,LVCMOS25*,15,12,SLOW,,,,UNLOCATED,NO,NONE,
N21,cfg_addr<17>,IOB,IO_L18N_15,OUTPUT,LVCMOS25*,15,12,SLOW,,,,UNLOCATED,NO,NONE,
N22,,,GND,,,,,,,,,,,,
N23,cfg_addr<18>,IOB,IO_L19P_15,OUTPUT,LVCMOS25*,15,12,SLOW,,,,UNLOCATED,NO,NONE,
N24,cfg_addr<21>,IOB,IO_L16P_VRN_15,OUTPUT,LVCMOS25*,15,12,SLOW,,,,UNLOCATED,NO,NONE,
N25,cfg_addr<22>,IOB,IO_L16N_VRP_15,OUTPUT,LVCMOS25*,15,12,SLOW,,,,UNLOCATED,NO,NONE,
N26,cfg_addr<2>,IOB,IO_L11N_SRCC_15,OUTPUT,LVCMOS25*,15,12,SLOW,,,,UNLOCATED,NO,NONE,
N27,,,VCCO_15,,,15,,,,,2.50,,,,
N28,cfg_addr<12>,IOB,IO_L15P_SM15P_15,OUTPUT,LVCMOS25*,15,12,SLOW,,,,UNLOCATED,NO,NONE,
P1,pci_exp_txp<1>,OPAD,MGTTXP2_115,,,,,,,,,,NO,,
P2,pci_exp_txn<1>,OPAD,MGTTXN2_115,,,,,,,,,,NO,,
P3,,,GND,,,,,,,,,,,,
P4,,,MGTAVCC,,,,,,,,,,,,
P5,pci_exp_sys_clk_n,IPAD,MGTREFCLK1N_115,,,,,,,,,,NO,,
P6,pci_exp_sys_clk_p,IPAD,MGTREFCLK1P_115,,,,,,,,,,NO,,
P7,,,GND,,,,,,,,,,,,
P8,,,VCCAUX,,,,,,,,2.5,,,,
P9,,,GND,,,,,,,,,,,,
P10,,,VCCINT,,,,,,,,1.0,,,,
P11,,,GND,,,,,,,,,,,,
P12,,,VCCINT,,,,,,,,1.0,,,,
P13,,,VREFN_0,,,,,,,,,,,,
P14,,IPAD,VP_0,UNUSED,,0,,,,,,,,,
P15,,,GND,,,,,,,,,,,,
P16,,,VCCINT,,,,,,,,1.0,,,,
P17,,,GND,,,,,,,,,,,,
P18,,,VCCINT,,,,,,,,1.0,,,,
P19,,,GND,,,,,,,,,,,,
P20,,IOBS,IO_L14N_VREF_14,UNUSED,,14,,,,,,,,,
P21,adc_sclk,IOB,IO_L8P_SRCC_14,OUTPUT,LVCMOS18,14,12,SLOW,,,,UNLOCATED,NO,NONE,
P22,adc_tpm,IOB,IO_L8N_SRCC_14,OUTPUT,LVCMOS18,14,12,SLOW,,,,UNLOCATED,NO,NONE,
P23,cfg_addr<19>,IOB,IO_L19N_15,OUTPUT,LVCMOS25*,15,12,SLOW,,,,UNLOCATED,NO,NONE,
P24,,,VCCO_15,,,15,,,,,2.50,,,,
P25,cfg_addr<15>,IOB,IO_L17N_15,OUTPUT,LVCMOS25*,15,12,SLOW,,,,UNLOCATED,NO,NONE,
P26,cfg_addr<14>,IOB,IO_L17P_15,OUTPUT,LVCMOS25*,15,12,SLOW,,,,UNLOCATED,NO,NONE,
P27,cfg_addr<10>,IOB,IO_L13N_SM14N_15,OUTPUT,LVCMOS25*,15,12,SLOW,,,,UNLOCATED,NO,NONE,
P28,cfg_addr<9>,IOB,IO_L13P_SM14P_15,OUTPUT,LVCMOS25*,15,12,SLOW,,,,UNLOCATED,NO,NONE,
R1,,,GND,,,,,,,,,,,,
R2,,,MGTAVTT,,,,,,,,,,,,
R3,pci_exp_rxp<2>,IPAD,MGTRXP1_115,,,,,,,,,,NO,,
R4,pci_exp_rxn<2>,IPAD,MGTRXN1_115,,,,,,,,,,NO,,
R5,,,GND,,,,,,,,,,,,
R6,,,GND,,,,,,,,,,,,
R7,,,GND,,,,,,,,,,,,
R8,,,GND,,,,,,,,,,,,
R9,,,VCCINT,,,,,,,,1.0,,,,
R10,,,GND,,,,,,,,,,,,
R11,,,VCCINT,,,,,,,,1.0,,,,
R12,,,GND,,,,,,,,,,,,
R13,,IPAD,VN_0,UNUSED,,0,,,,,,,,,
R14,,,VREFP_0,,,,,,,,,,,,
R15,,,VCCINT,,,,,,,,1.0,,,,
R16,,,GND,,,,,,,,,,,,
R17,,,VCCINT,,,,,,,,1.0,,,,
R18,,,GND,,,,,,,,,,,,
R19,,,VCCAUX,,,,,,,,2.5,,,,
R20,adc_scs_n,IOB,IO_L14P_14,OUTPUT,LVCMOS18,14,12,SLOW,,,,UNLOCATED,NO,NONE,
R21,,,VCCO_14,,,14,,,,,1.80,,,,
R22,,IOBM,IO_L18P_14,UNUSED,,14,,,,,,,,,
R23,,IOBS,IO_L18N_14,UNUSED,,14,,,,,,,,,
R24,,IOBM,IO_L12P_VRN_14,UNUSED,,14,,,,,,,,,
R25,,IOBS,IO_L12N_VRP_14,UNUSED,,14,,,,,,,,,
R26,,,GND,,,,,,,,,,,,
R27,led<7>,IOB,IO_L0P_14,OUTPUT,LVCMOS18,14,12,SLOW,,,,UNLOCATED,NO,NONE,
R28,pci_exp_sys_reset_n,IOB,IO_L0N_14,INPUT,LVCMOS18,14,,,PULLUP,NONE,,UNLOCATED,NO,NONE,
T1,pci_exp_txp<2>,OPAD,MGTTXP1_115,,,,,,,,,,NO,,
T2,pci_exp_txn<2>,OPAD,MGTTXN1_115,,,,,,,,,,NO,,
T3,,,GND,,,,,,,,,,,,
T4,,,GND,,,,,,,,,,,,
T5,,IPAD,MGTREFCLK0N_115,UNUSED,,,,,,,,,,,
T6,,IPAD,MGTREFCLK0P_115,UNUSED,,,,,,,,,,,
T7,,,GND,,,,,,,,,,,,
T8,,,VCCAUX,,,,,,,,2.5,,,,
T9,,,GND,,,,,,,,,,,,
T10,,,VCCINT,,,,,,,,1.0,,,,
T11,,,GND,,,,,,,,,,,,
T12,,,VCCINT,,,,,,,,1.0,,,,
T13,,,DXN_0,,,,,,,,,,,,
T14,,,DXP_0,,,,,,,,,,,,
T15,,,GND,,,,,,,,,,,,
T16,,,VCCINT,,,,,,,,1.0,,,,
